"","time","sample_id","group","type","mutation_type","gen_rearr","mean_amount","sd_amount"
"1",0,"13_1","ev_pop_1","cfu","spacer_deletion","NO",112030.769233846,59391.1026135139
"2",0,"13_1","ev_pop_1","pfu","spacer_deletion","NO",59722.2222225,20504.5055407391
"3",0,"13_2","ev_pop_1","cfu","spacer_deletion","NO",111199.145299231,57081.5416365221
"4",0,"13_2","ev_pop_1","pfu","spacer_deletion","NO",50465.7407408333,15934.6106721621
"5",0,"13_3","ev_pop_1","cfu","large_deletion","DEL",113250.427343077,48031.6345060058
"6",0,"13_3","ev_pop_1","pfu","large_deletion","DEL",36383.3333333333,11517.0458745523
"7",0,"13_4","ev_pop_1","cfu","large_deletion","DUP",116809.401703846,61795.308237525
"8",0,"13_4","ev_pop_1","pfu","large_deletion","DUP",29003.333333,10873.0977085676
"9",0,"13_5","ev_pop_1","cfu","spacer_mutation","NO",115301.709404615,50038.7528516631
"10",0,"13_5","ev_pop_1","pfu","spacer_mutation","NO",47685.4629625,22701.2975073387
"11",0,"13_6","ev_pop_1","cfu","spacer_mutation","NO",95900.0000007692,51660.8833887021
"12",0,"13_6","ev_pop_1","pfu","spacer_mutation","NO",39357.4074066667,15924.1036855113
"13",0,"14_1","ev_pop_2","cfu","large_deletion","DEL",103530.555555833,42887.5472454871
"14",0,"14_1","ev_pop_2","pfu","large_deletion","DEL",37930.3703706667,18745.2538220695
"15",0,"14_2","ev_pop_2","cfu","cas_mutation","NO",89842.5925933333,48363.4444303733
"16",0,"14_2","ev_pop_2","pfu","cas_mutation","NO",36821.481482,14159.3142861044
"17",0,"14_3","ev_pop_2","cfu","large_deletion","DUP",80447.4747463636,30186.7856343043
"18",0,"14_3","ev_pop_2","pfu","large_deletion","DUP",36091.851852,6913.51520870829
"19",0,"14_4","ev_pop_2","cfu","spacer_deletion","NO",86815.7407408333,51420.6682971041
"20",0,"14_4","ev_pop_2","pfu","spacer_deletion","NO",37699.2592593333,12506.1201713397
"21",0,"14_5","ev_pop_2","cfu","spacer_mutation","NO",80994.9494945454,22644.363408394
"22",0,"14_5","ev_pop_2","pfu","spacer_mutation","NO",36213.3333333333,8422.32085216781
"23",0,"14_6","ev_pop_2","cfu","large_deletion","DUP",110639.814815,54869.4660474171
"24",0,"14_6","ev_pop_2","pfu","large_deletion","DUP",23039.2592593333,8497.21073311833
"25",0,"15_1","ev_pop_3","cfu","cas_mutation","NO",103846.153843846,52226.8246272137
"26",0,"15_1","ev_pop_3","pfu","cas_mutation","NO",46211.1111117333,13522.0924462975
"27",0,"15_2","ev_pop_3","cfu","spacer_deletion","NO",93387.1794876923,51757.4773120645
"28",0,"15_2","ev_pop_3","pfu","spacer_deletion","NO",37634.0740746667,11177.9446068817
"29",0,"15_3","ev_pop_3","cfu","cas_mutation","NO",84810.2564107692,40300.3570093242
"30",0,"15_3","ev_pop_3","pfu","cas_mutation","NO",40675.5555550667,16851.354071246
"31",0,"15_4","ev_pop_3","cfu","large_deletion","DEL",88951.2820538462,36122.1232667011
"32",0,"15_4","ev_pop_3","pfu","large_deletion","DEL",34817.0370366667,12441.9497687119
"33",0,"15_5","ev_pop_3","cfu","large_deletion","DEL",97664.1025646154,48738.4645343353
"34",0,"15_5","ev_pop_3","pfu","large_deletion","DEL",37479.2592593333,12584.3887694794
"35",0,"15_6","ev_pop_3","cfu","cas_deletion","NO",95151.2820507692,37881.2196398026
"36",0,"15_6","ev_pop_3","pfu","cas_deletion","NO",42448.8888893333,16831.1967842691
"37",2,"13_1","ev_pop_1","cfu","spacer_deletion","NO",378333.3333325,313012.049636434
"38",2,"13_1","ev_pop_1","pfu","spacer_deletion","NO",88888.8888866667,47297.3258913659
