sample_id,amount_per_ml,time,group,type,mutation_type
Lys2_1,76666.66667,0,anc_pop_2,pfu,ancestral
Lys2_1,70000,0,anc_pop_2,pfu,ancestral
Lys2_1,44444.44444,0,anc_pop_2,pfu,ancestral
Lys2_1,124444.4444,0,anc_pop_2,pfu,ancestral
Lys2_1,53333.33333,0,anc_pop_2,cfu,ancestral
Lys2_1,45555.55556,0,anc_pop_2,cfu,ancestral
Lys2_1,70000,0,anc_pop_2,cfu,ancestral
Lys2_1,60000,0,anc_pop_2,cfu,ancestral
Lys2_1,166666.6667,0,anc_pop_2,cfu,ancestral
Lys2_1,33333.33333,0,anc_pop_2,cfu,ancestral
Lys2_1,66666.66667,0,anc_pop_2,cfu,ancestral
Lys2_1,30000,0,anc_pop_2,pfu,ancestral
Lys2_1,56700,0,anc_pop_2,pfu,ancestral
Lys2_1,53300,0,anc_pop_2,pfu,ancestral
Lys2_1,100000,0,anc_pop_2,cfu,ancestral
Lys2_1,133000,0,anc_pop_2,cfu,ancestral
Lys2_1,100000,0,anc_pop_2,cfu,ancestral
Lys2_1,63300,0,anc_pop_2,pfu,ancestral
Lys2_1,43300,0,anc_pop_2,pfu,ancestral
Lys2_1,66700,0,anc_pop_2,pfu,ancestral
Lys2_1,63300,0,anc_pop_2,pfu,ancestral
Lys2_1,43300,0,anc_pop_2,pfu,ancestral
Lys2_1,66700,0,anc_pop_2,pfu,ancestral
Lys2_1,56666.66667,0,anc_pop_2,cfu,ancestral
Lys2_1,80000,0,anc_pop_2,cfu,ancestral
Lys2_1,36666.66667,0,anc_pop_2,cfu,ancestral
Lys2_1,60000,0,anc_pop_2,pfu,ancestral
Lys2_1,66666.66667,0,anc_pop_2,pfu,ancestral
Lys2_1,53333.33333,0,anc_pop_2,pfu,ancestral
Lys2_1,666666.6667,2,anc_pop_2,pfu,ancestral
Lys2_1,644444.4444,2,anc_pop_2,pfu,ancestral
Lys2_1,422222.2222,2,anc_pop_2,pfu,ancestral
Lys2_1,NA,2,anc_pop_2,pfu,ancestral
Lys2_1,NA,2,anc_pop_2,cfu,ancestral
Lys2_1,200000,2,anc_pop_2,cfu,ancestral
Lys2_1,177777.7778,2,anc_pop_2,cfu,ancestral
Lys2_1,95555.55556,2,anc_pop_2,cfu,ancestral
Lys2_1,788888.8889,3,anc_pop_2,pfu,ancestral
Lys2_1,1122222.222,3,anc_pop_2,pfu,ancestral
Lys2_1,1011111.111,3,anc_pop_2,pfu,ancestral
Lys2_1,1311111.111,3,anc_pop_2,pfu,ancestral
Lys2_1,NA,3,anc_pop_2,cfu,ancestral
Lys2_1,1000000,3,anc_pop_2,cfu,ancestral
Lys2_1,1333333.333,3,anc_pop_2,cfu,ancestral
Lys2_1,NA,3,anc_pop_2,cfu,ancestral
Lys2_1,1488888.889,4,anc_pop_2,pfu,ancestral
Lys2_1,5111111.111,4,anc_pop_2,pfu,ancestral
Lys2_1,6000000,4,anc_pop_2,pfu,ancestral
Lys2_1,3000000,4,anc_pop_2,pfu,ancestral
Lys2_1,100000,4,anc_pop_2,cfu,ancestral
Lys2_1,888888.8889,4,anc_pop_2,cfu,ancestral
Lys2_1,5166666.667,4,anc_pop_2,cfu,ancestral
Lys2_1,NA,4,anc_pop_2,cfu,ancestral
Lys2_1,25888888.89,5,anc_pop_2,pfu,ancestral
Lys2_1,41444444.44,5,anc_pop_2,pfu,ancestral
Lys2_1,21111111.11,5,anc_pop_2,pfu,ancestral
Lys2_1,5666666.667,5,anc_pop_2,pfu,ancestral
