"","sample_id","COG_category","Preferred_name","gene_count"
"1","Lys2_ev_pop1_4","G","-",1
"2","Lys2_ev_pop1_4","H","moaB",1
"3","Lys2_ev_pop1_4","H","moaC",1
"4","Lys2_ev_pop1_4","H","moaD",1
"5","Lys2_ev_pop1_4","H","moaE",1
"6","Lys2_ev_pop1_4","H","moeA1",1
"7","Lys2_ev_pop1_4","I","-",1
"8","Lys2_ev_pop1_4","I","atoB",1
"9","Lys2_ev_pop1_4","IQ","alkK",1
"10","Lys2_ev_pop1_4","K","-",2
"11","Lys2_ev_pop1_4","M","-",2
"12","Lys2_ev_pop1_4","O","yhbU",1
"13","Lys2_ev_pop1_4","O","yhbV",1
"14","Lys2_ev_pop1_4","P","copA",1
"15","Lys2_ev_pop1_4","P","phoD2",1
"16","Lys2_ev_pop1_4","S","-",1
"17","Lys2_ev_pop1_4","S","IV02_13580",1
"18","Lys2_ev_pop1_4","T","-",1
"19","Lys2_ev_pop1_4","T","phoH2",1
"20","Lys2_ev_pop2_3","-","-",10
"21","Lys2_ev_pop2_3","C","-",6
"22","Lys2_ev_pop2_3","C","aldH",1
"23","Lys2_ev_pop2_3","C","betB",1
"24","Lys2_ev_pop2_3","C","cycB",1
"25","Lys2_ev_pop2_3","C","dgcA",1
"26","Lys2_ev_pop2_3","C","dgcB",1
"27","Lys2_ev_pop2_3","C","etfA-1",1
"28","Lys2_ev_pop2_3","C","etfB-1",1
"29","Lys2_ev_pop2_3","C","gbcB",1
"30","Lys2_ev_pop2_3","C","glcD",1
"31","Lys2_ev_pop2_3","C","glcE",1
"32","Lys2_ev_pop2_3","C","glcF",1
"33","Lys2_ev_pop2_3","C","oadA",1
"34","Lys2_ev_pop2_3","C","rubA",1
"35","Lys2_ev_pop2_3","C","rubB",1
"36","Lys2_ev_pop2_3","C","scpC",1
"37","Lys2_ev_pop2_3","C","soxA",1
"38","Lys2_ev_pop2_3","D","-",1
"39","Lys2_ev_pop2_3","E","-",4
"40","Lys2_ev_pop2_3","E","alr",1
"41","Lys2_ev_pop2_3","E","aptA",1
"42","Lys2_ev_pop2_3","E","argB",1
"43","Lys2_ev_pop2_3","E","argE",1
"44","Lys2_ev_pop2_3","E","aspA",1
"45","Lys2_ev_pop2_3","E","betA",1
"46","Lys2_ev_pop2_3","E","choV",1
"47","Lys2_ev_pop2_3","E","choX",1
"48","Lys2_ev_pop2_3","E","dadA",1
"49","Lys2_ev_pop2_3","E","fdhA",1
"50","Lys2_ev_pop2_3","E","glyA3",1
"51","Lys2_ev_pop2_3","E","HA62_24395",1
"52","Lys2_ev_pop2_3","E","ltaE",1
"53","Lys2_ev_pop2_3","E","mtr",1
"54","Lys2_ev_pop2_3","E","ordL",1
"55","Lys2_ev_pop2_3","E","pchP",1
"56","Lys2_ev_pop2_3","E","radC",1
"57","Lys2_ev_pop2_3","E","sdaA",1
"58","Lys2_ev_pop2_3","E","soxB",1
"59","Lys2_ev_pop2_3","E","soxD",1
"60","Lys2_ev_pop2_3","E","soxG",1
"61","Lys2_ev_pop2_3","EGP","-",2
"62","Lys2_ev_pop2_3","EGP","proP_1",1
"63","Lys2_ev_pop2_3","EH","poxB",1
"64","Lys2_ev_pop2_3","F","dut",1
"65","Lys2_ev_pop2_3","F","gmk",1
"66","Lys2_ev_pop2_3","F","purE",1
"67","Lys2_ev_pop2_3","F","purK",1
"68","Lys2_ev_pop2_3","F","purU",1
"69","Lys2_ev_pop2_3","F","pyrE",1
"70","Lys2_ev_pop2_3","F","xpt",1
"71","Lys2_ev_pop2_3","G","yeaD",1
"72","Lys2_ev_pop2_3","G","zwf",1
"73","Lys2_ev_pop2_3","GM","-",1
"74","Lys2_ev_pop2_3","GT","algC",1
"75","Lys2_ev_pop2_3","H","coaBC",1
"76","Lys2_ev_pop2_3","H","ubiA",1
"77","Lys2_ev_pop2_3","H","ubiC",1
"78","Lys2_ev_pop2_3","I","-",1
"79","Lys2_ev_pop2_3","I","aes",1
"80","Lys2_ev_pop2_3","I","clsA",1
"81","Lys2_ev_pop2_3","I","lcdH",1
"82","Lys2_ev_pop2_3","I","pycA",1
"83","Lys2_ev_pop2_3","I","yciA",1
"84","Lys2_ev_pop2_3","J","-",1
"85","Lys2_ev_pop2_3","J","IV02_05570",1
"86","Lys2_ev_pop2_3","J","rph",1
"87","Lys2_ev_pop2_3","J","rpmB",1
"88","Lys2_ev_pop2_3","J","rpmG",1
"89","Lys2_ev_pop2_3","J","tdcF",1
"90","Lys2_ev_pop2_3","J","yabJ_1",1
"91","Lys2_ev_pop2_3","K","-",6
"92","Lys2_ev_pop2_3","K","ats",1
"93","Lys2_ev_pop2_3","K","betI",1
"94","Lys2_ev_pop2_3","K","cdhR",1
"95","Lys2_ev_pop2_3","K","gbdR",1
"96","Lys2_ev_pop2_3","K","glcC",1
"97","Lys2_ev_pop2_3","K","glnK",1
"98","Lys2_ev_pop2_3","K","hexR3",1
"99","Lys2_ev_pop2_3","K","IV02_24375",1
"100","Lys2_ev_pop2_3","K","lrp",1
"101","Lys2_ev_pop2_3","K","oxyR",1
"102","Lys2_ev_pop2_3","K","phoB",1
"103","Lys2_ev_pop2_3","K","puuR",1
"104","Lys2_ev_pop2_3","K","rpoZ",1
"105","Lys2_ev_pop2_3","K","yeiE",1
"106","Lys2_ev_pop2_3","K","yozG",1
"107","Lys2_ev_pop2_3","KT","spoT",1
"108","Lys2_ev_pop2_3","L","crc",1
"109","Lys2_ev_pop2_3","L","hupA",1
"110","Lys2_ev_pop2_3","L","recG",1
"111","Lys2_ev_pop2_3","L","rep",1
"112","Lys2_ev_pop2_3","L","uvrD",1
"113","Lys2_ev_pop2_3","M","-",1
"114","Lys2_ev_pop2_3","M","betT",1
"115","Lys2_ev_pop2_3","NU","-",1
"116","Lys2_ev_pop2_3","O","comM",1
