"","time","sample_id","group","type","mutation_type","mean_amount","sd_amount"
"1",0,"13_1","ev_pop_1","cfu","spacer
deletion",112030.769233846,59391.1026135139
"2",0,"13_1","ev_pop_1","pfu","spacer
deletion",59722.2222225,20504.5055407391
"3",0,"13_2","ev_pop_1","cfu","spacer
deletion",111199.145299231,57081.5416365221
"4",0,"13_2","ev_pop_1","pfu","spacer
deletion",50465.7407408333,15934.6106721621
"5",0,"13_3","ev_pop_1","cfu","large
deletion",113250.427343077,48031.6345060058
"6",0,"13_3","ev_pop_1","pfu","large
deletion",36383.3333333333,11517.0458745523
"7",0,"13_4","ev_pop_1","cfu","large
deletion",116809.401703846,61795.308237525
"8",0,"13_4","ev_pop_1","pfu","large
deletion",29003.333333,10873.0977085676
"9",0,"13_5","ev_pop_1","cfu","spacer
mutation",115301.709404615,50038.7528516631
"10",0,"13_5","ev_pop_1","pfu","spacer
mutation",47685.4629625,22701.2975073387
"11",0,"13_6","ev_pop_1","cfu","spacer
mutation",95900.0000007692,51660.8833887021
"12",0,"13_6","ev_pop_1","pfu","spacer
mutation",39357.4074066667,15924.1036855113
"13",0,"14_1","ev_pop_2","cfu","large
deletion",103530.555555833,42887.5472454871
"14",0,"14_1","ev_pop_2","pfu","large
deletion",37930.3703706667,18745.2538220695
"15",0,"14_2","ev_pop_2","cfu","cas
mutation",89842.5925933333,48363.4444303733
"16",0,"14_2","ev_pop_2","pfu","cas
mutation",36821.481482,14159.3142861044
"17",0,"14_3","ev_pop_2","cfu","large
deletion",80447.4747463636,30186.7856343043
"18",0,"14_3","ev_pop_2","pfu","large
deletion",36091.851852,6913.51520870829
"19",0,"14_4","ev_pop_2","cfu","spacer
deletion",86815.7407408333,51420.6682971041
"20",0,"14_4","ev_pop_2","pfu","spacer
deletion",37699.2592593333,12506.1201713397
"21",0,"14_5","ev_pop_2","cfu","spacer
mutation",80994.9494945454,22644.363408394
"22",0,"14_5","ev_pop_2","pfu","spacer
mutation",36213.3333333333,8422.32085216781
"23",0,"14_6","ev_pop_2","cfu","large
deletion",110639.814815,54869.4660474171
