"","sample_id","type","day","mean_foldchange","sd_foldchange"
"1","PA14","cfu","R1",0.0522615882757811,0.0246003802575421
"2","PA14","cfu","R2",0.0661667919799499,0.0156105084998905
"3","PA14","cfu","R4",0.115783959899749,0.0782786723590183
"4","PA14","cfu","R5",0.115317817548424,0.0649220652403893
"5","Lys2","cfu","R1",0.0136946828803052,0.0058215959108962
"6","Lys2","cfu","R2",0.012740994357911,0.00361833304851518
"7","Lys2","cfu","R4",0.0185517658107546,0.0070295895565668
"8","Lys2","cfu","R5",0.0221382112180134,0.00587399936847844
"9","Lys2","pfu","R1",24.6507750157385,9.26934518435016
"10","Lys2","pfu","R2",25.4011384386767,4.72433193810988
"11","Lys2","pfu","R4",8.00093112916454,0.997176237737452
"12","Lys2","pfu","R5",11.4143048907125,0.884492241635185
"13","∆CRISPR_lys","cfu","R1",0.0124599787757683,0.00310773556476215
"14","∆CRISPR_lys","cfu","R2",0.0151898345395575,0.00677482239829556
"15","∆CRISPR_lys","cfu","R4",0.00916942672593398,0.000886292635244144
"16","∆CRISPR_lys","cfu","R5",0.0278354291417166,0.0140169928078795
"17","∆CRISPR_lys","pfu","R1",25.3332399626517,8.76377400743644
"18","∆CRISPR_lys","pfu","R2",76.2879661668589,23.0950017974994
"19","∆CRISPR_lys","pfu","R4",33.8572540924236,5.01478293781256
"20","∆CRISPR_lys","pfu","R5",35.4013394615021,19.8224694512795
"21","Lys2_ev_pop1_1","cfu","R1",0.00613094349698899,0.00170097112800451
"22","Lys2_ev_pop1_1","cfu","R2",0.0143082041337732,0.00894891808038399
"23","Lys2_ev_pop1_1","cfu","R4",0.0119190118824265,0.000625427375419812
"24","Lys2_ev_pop1_1","cfu","R5",0.0267106236964274,0.00763986516235125
"25","Lys2_ev_pop1_1","pfu","R1",23.4787712461742,5.05919885962163
"26","Lys2_ev_pop1_1","pfu","R2",51.9732234606304,22.039848297977
"27","Lys2_ev_pop1_1","pfu","R4",20.668711384218,3.08744490405046
"28","Lys2_ev_pop1_1","pfu","R5",51.1296989383989,12.3179195429538
"29","Lys2_ev_pop1_3","cfu","R1",0.0269217444912724,0.0144436784168628
"30","Lys2_ev_pop1_3","cfu","R2",0.0308170243204578,0.013755060426174
"31","Lys2_ev_pop1_3","cfu","R4",0.0324519019019019,0.00805361993981438
"32","Lys2_ev_pop1_3","cfu","R5",0.0366247156412452,0.0220619520056885
"33","Lys2_ev_pop1_3","pfu","R1",11.2999166287707,11.3926469997002
"34","Lys2_ev_pop1_3","pfu","R2",37.3051386283094,5.3744567430387
"35","Lys2_ev_pop1_3","pfu","R4",21.3167647760214,7.51543296860286
"36","Lys2_ev_pop1_3","pfu","R5",39.1039717206935,5.26433894271755
"37","Lys2_ev_pop2_3","cfu","R1",0.0535663806212525,0.0545657246786806
"38","Lys2_ev_pop2_3","cfu","R2",0.0280216259210902,0.00616343217861967
"39","Lys2_ev_pop2_3","cfu","R4",0.0234897897897898,0.00215770776981895
"40","Lys2_ev_pop2_3","cfu","R5",0.0272007094136621,0.00379943848632157
"41","Lys2_ev_pop2_3","pfu","R1",45.7237303656795,18.2021121527271
"42","Lys2_ev_pop2_3","pfu","R2",39.5462406842358,26.0328894830073
"43","Lys2_ev_pop2_3","pfu","R4",11.8272990667164,13.401000648044
"44","Lys2_ev_pop2_3","pfu","R5",30.5577768169569,2.36317287912062
