"","sample_id","type","treatment","dilution","colony_no","volume","amount","day","phage_no"
"1","13_1","cfu","treated",1e-04,7,0.003,23300000,"R1",1
"2","13_1","cfu","treated",1e-04,5,0.003,16700000,"R1",1
"3","13_1","cfu","treated",1e-04,7,0.003,23300000,"R1",1
"4","13_1","cfu","untreated",1e-06,16,0.003,5.33e+09,"R1",1
"5","13_1","cfu","untreated",1e-06,8,0.003,2.67e+09,"R1",1
"6","13_1","cfu","untreated",1e-06,9,0.003,3e+09,"R1",1
"7","13_1","pfu","treated",1e-07,7,0.003,2.33e+10,"R1",1
"8","13_1","pfu","treated",1e-07,8,0.003,2.67e+10,"R1",1
"9","13_1","pfu","treated",1e-07,10,0.003,3.33e+10,"R1",1
"10","13_1","pfu","untreated",1e-05,38,0.003,1.27e+09,"R1",1
"11","13_1","pfu","untreated",1e-05,34,0.003,1.13e+09,"R1",1
"12","13_1","pfu","untreated",1e-05,35,0.003,1.17e+09,"R1",1
"13","13_1","cfu","treated",1e-04,10,0.003,33300000,"R2",1
"14","13_1","cfu","treated",1e-04,17,0.003,56700000,"R2",1
"15","13_1","cfu","treated",1e-04,8,0.003,26700000,"R2",1
"16","13_1","cfu","untreated",1e-06,14,0.003,4.67e+09,"R2",1
"17","13_1","cfu","untreated",1e-06,7,0.003,2.33e+09,"R2",1
"18","13_1","cfu","untreated",1e-06,7,0.003,2.33e+09,"R2",1
"19","13_1","pfu","treated",1e-07,13,0.003,4.33e+10,"R2",1
"20","13_1","pfu","treated",1e-07,9,0.003,3e+10,"R2",1
"21","13_1","pfu","treated",1e-07,15,0.003,5e+10,"R2",1
"22","13_1","pfu","untreated",1e-05,23,0.003,7.67e+08,"R2",1
"23","13_1","pfu","untreated",1e-05,32,0.003,1.07e+09,"R2",1
"24","13_1","pfu","untreated",1e-05,21,0.003,7e+08,"R2",1
"25","13_1","cfu","treated",1e-04,22,0.003,73300000,"R3",1
"26","13_1","cfu","treated",1e-04,19,0.003,63300000,"R3",1
"27","13_1","cfu","treated",1e-04,21,0.003,7e+07,"R3",1
"28","13_1","cfu","untreated",1e-06,12,0.003,4e+09,"R3",1
"29","13_1","cfu","untreated",1e-06,8,0.003,2.67e+09,"R3",1
"30","13_1","cfu","untreated",1e-06,11,0.003,3.67e+09,"R3",1
"31","13_1","pfu","treated",1e-07,25,0.003,8.33e+10,"R3",1
"32","13_1","pfu","treated",1e-07,31,0.003,1.03e+11,"R3",1
"33","13_1","pfu","treated",1e-07,26,0.003,8.67e+10,"R3",1
"34","13_1","pfu","untreated",1e-05,28,0.003,9.33e+08,"R3",1
"35","13_1","pfu","untreated",1e-05,31,0.003,1.03e+09,"R3",1
"36","13_1","pfu","untreated",1e-05,29,0.003,9.67e+08,"R3",1
"37","13_1","cfu","treated",1e-04,18,0.003,6e+07,"R4",1
"38","13_1","cfu","treated",1e-04,18,0.003,6e+07,"R4",1
"39","13_1","cfu","treated",1e-04,15,0.003,5e+07,"R4",1
"40","13_1","cfu","untreated",1e-06,16,0.003,5.33e+09,"R4",1
