"","sample_id","t_initial","t_final","cfu_slope","cfu_intercept","cfu_initial","cfu_final","cfu_mean","pfu_slope","pfu_intercept","pfu_initial","pfu_final","V_T2_T1","replicate","filename","group","mutation_type","spi"
"1","∆CRISPR(DMS3)",0,7,0.528070218,5.683332283,482316.6817,2397859909,34007761.39,0.459788711,5.71560209,519519.7834,859256983.4,858737463.6,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","dCRISPR","∆CRISPR",0.00143868939731576
"2","∆CRISPR(DMS3)",0,7,0.513858129,5.496530723,313711.7049,1240331075,19725779.48,0.455477403,5.52096227,331865.6247,512040240.7,511708375.1,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","dCRISPR","∆CRISPR",0.00147799521895629
"3","∆CRISPR(DMS3)",0,7,0.513858129,5.496530723,313711.7049,1240331075,19725779.48,0.455477403,5.52096227,331865.6247,512040240.7,511708375.1,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","dCRISPR","∆CRISPR",0.00147799521895629
"4","∆CRISPR(DMS3)",0,5,0.545170427,5.775138624,595852.3048,316950000.7,13742466.61,0.611729227,5.305099378,201882.827,231071037.6,230869154.8,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","dCRISPR","∆CRISPR",0.00134002819435934
"5","∆CRISPR(DMS3)",0,7,0.496448019,5.749170521,561268.3082,1676125975,30671752.32,0.461393951,5.481079701,302746.897,513851181.2,513548434.3,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","dCRISPR","∆CRISPR",0.000953954143614342
"6","13_1 Day 12 ev ",0,7,0.520249566,5.677219197,475575.1974,2084328462,31484201.11,0.492192214,5.226153927,168327.0556,469352810.4,469184483.4,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_1","spacer_deletion",0.000849054642351463
"7","13_1 Day 12 ev ",0,7,0.523746315,5.524225602,334368.6885,1550421577,22768672.11,0.507183292,4.994203862,98674.2563,350337722.8,350239048.6,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","spacer_deletion",0.000876418506171488
"8","13_1 Day 12 ev ",0,7,0.522679183,5.694474573,494851.1373,2255427411,33408095.12,0.577073438,4.726792036,53307.95665,583856475.5,583803167.5,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","spacer_deletion",0.000995633294635386
"9","13_2 Day 12 ev ",0,7,0.495709538,5.765961063,583392.7974,1721582466,31691620.51,0.504046693,5.121714539,132347.1333,446726161.9,446593814.8,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_1","spacer_deletion",0.000802884243242737
"10","13_2 Day 12 ev ",0,7,0.512571437,5.757198037,571739.2892,2214104425,35579354.83,0.530069194,5.026891898,106387.8172,546230890.5,546124502.7,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","spacer_deletion",0.00087453716722237
"11","13_2 Day 12 ev ",0,7,0.531814876,5.660519996,457635.8046,2416707711,33256157,0.584738414,4.853185386,71315.73888,883800588.8,883729273.1,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","spacer_deletion",0.00151402085370925
"12","13_3 Day 12 ev ",0,7,0.510335551,5.777070066,598508.146,2235727771,36580066.75,0.482312943,5.098884185,125569.5059,298589673.8,298464104.3,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_1","large_deletion",0.00046487082504769
"13","13_3 Day 12 ev ",0,7,0.512322954,5.696038784,496636.6708,1915576337,30843888.45,0.488737366,4.938121503,86720.44615,228708898.5,228622178,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","large_deletion",0.000422312476230147
"14","13_3 Day 12 ev ",0,7,0.560343603,5.69378834,494069.8363,4132316328,45184652.83,0.535518341,4.900074125,79446.38207,445351081.9,445271635.5,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","large_deletion",0.000561459919156092
"15","13_3 Day 12 ev ",0,7,0.546503018,5.574924215,375771.8262,2514463538,30738649.22,0.472070818,5.691937751,491969.0148,991821404.9,991329435.9,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_1","large_deletion",0.0018374600308186
"16","13_3 Day 12 ev ",0,7,0.562081347,5.462257063,289905.9058,2493598303,26886964.77,0.480964623,5.331921415,214744.1861,499659072.7,499444328.5,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_1","large_deletion",0.00105835163606639
"17","13_3 Day 12 ev ",0,7,0.562081347,5.462257063,289905.9058,2493598303,26886964.77,0.480964623,5.331921415,214744.1861,499659072.7,499444328.5,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_1","large_deletion",0.00105835163606639
"18","13_3 Day 12 ev ",0,5,0.5502498,5.625901726,422572.9819,238314642.1,10035204.48,0.608368505,4.972309542,93823.04889,103312309.3,103218486.2,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_1","large_deletion",0.000820434609860512
"19","13_3 Day 12 ev ",0,7,0.519489184,5.735290782,543614.1873,2353504710,35768681.13,0.438123282,5.475658432,298991.2174,348755771.3,348456780,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_1","large_deletion",0.000555048163282576
"20","13_4 Day 12 ev ",0,7,0.495859047,5.844745675,699432.2843,2068992929,38041036.4,0.506223602,5.016128251,103783.4852,362821879.1,362718095.6,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_1","large_deletion",0.000543252282792262
"21","13_4 Day 12 ev ",0,7,0.498322835,5.61793161,414888.7037,1277001650,23017679.27,0.533887879,4.731000189,53827.00171,293910660.5,293856833.5,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","large_deletion",0.000727375950991944
"22","13_4 Day 12 ev ",0,7,0.589706102,5.689451854,489161.0332,6567416599,56679134.51,0.556777289,4.703281269,50498.82455,398769830.5,398719331.7,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","large_deletion",0.000400800966912983
"23","13_5 Day 12 ev ",0,7,0.504659001,5.732945637,540686.6382,1843141354,31568368.7,0.495312821,5.170249407,147995.8055,433949459.1,433801463.3,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_1","spacer_mutation",0.000782931109973808
"24","13_5 Day 12 ev ",0,7,0.545140223,5.398341801,250231.3972,1638035696,20245689.93,0.54074811,4.84364446,69766.10222,425482036.8,425412270.7,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","spacer_mutation",0.00119718732249768
"25","13_5 Day 12 ev ",0,7,0.538544266,5.84509804,7e+05,4120101387,53703547.1,0.529109623,5.031845463,107608.2237,544017442.4,543909834.1,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","spacer_mutation",0.000577043584914489
"26","13_6 Day 12 ev ",0,7,0.53745551,5.594272647,392891.5128,2272276720,29879060.19,0.505590341,4.927981124,84719.05914,293165938.5,293081219.5,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_1","spacer_mutation",0.000558863484989521
"27","13_6 Day 12 ev ",0,7,0.490364198,5.617170368,414162.1137,1121294658,21549890.16,0.546350072,4.869690631,74078.23589,494471354,494397275.7,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_1","spacer_mutation",0.00130712068057083
