,sample_id,X.query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
1,Lys2_ev_pop1_3,13_3_2835111-3078848_10,287.DR97_5710,1.83E-111,321,"28PP3@1|root,2ZCBK@2|Bacteria,1NE67@1224|Proteobacteria,1SFA2@1236|Gammaproteobacteria,1YGIJ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Lys2_ev_pop1_3,13_3_2835111-3078848_36,287.DR97_5996,3.52E-99,288,"2ERHW@1|root,33J3B@2|Bacteria,1NPGZ@1224|Proteobacteria,1TCAA@1236|Gammaproteobacteria,1YK4B@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Lys2_ev_pop1_3,13_3_2835111-3078848_39,287.DR97_5999,6.88E-53,166,"2AHBH@1|root,317MZ@2|Bacteria,1QEJS@1224|Proteobacteria,1TBB2@1236|Gammaproteobacteria,1YH6D@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Lys2_ev_pop1_3,13_3_2835111-3078848_74,287.DR97_6027,3.92E-121,347,"2E2KX@1|root,32XQ5@2|Bacteria,1N5SI@1224|Proteobacteria,1SGWF@1236|Gammaproteobacteria,1YIKB@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Lys2_ev_pop1_3,13_3_2835111-3078848_75,287.DR97_6028,1.97E-77,230,"2E451@1|root,32Z13@2|Bacteria,1N6TT@1224|Proteobacteria,1SF2I@1236|Gammaproteobacteria,1YGXM@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Lys2_ev_pop1_3,13_3_2835111-3078848_99,287.DR97_6052,4.28E-51,161,"2AS94@1|root,31HN7@2|Bacteria,1QFCX@1224|Proteobacteria,1TCK3@1236|Gammaproteobacteria,1YKEI@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Lys2_ev_pop1_3,13_3_2835111-3078848_107,1005395.CSV86_19430,2.18E-118,353,"2C93F@1|root,2ZVGC@2|Bacteria,1P6MB@1224|Proteobacteria,1SUUR@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Lys2_ev_pop1_3,13_3_2835111-3078848_116,287.DR97_6068,6.11E-109,313,"2E53M@1|root,32ZWP@2|Bacteria,1N5H5@1224|Proteobacteria,1SEB3@1236|Gammaproteobacteria,1YGIC@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,ko:K11918,-,-,-,-,"ko00000,ko02044",-,-,-,-
9,Lys2_ev_pop1_4,13_4_2839227-3026093_6,287.DR97_5710,1.83E-111,321,"28PP3@1|root,2ZCBK@2|Bacteria,1NE67@1224|Proteobacteria,1SFA2@1236|Gammaproteobacteria,1YGIJ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Lys2_ev_pop1_4,13_4_2839227-3026093_32,287.DR97_5996,3.52E-99,288,"2ERHW@1|root,33J3B@2|Bacteria,1NPGZ@1224|Proteobacteria,1TCAA@1236|Gammaproteobacteria,1YK4B@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Lys2_ev_pop1_4,13_4_2839227-3026093_35,287.DR97_5999,6.88E-53,166,"2AHBH@1|root,317MZ@2|Bacteria,1QEJS@1224|Proteobacteria,1TBB2@1236|Gammaproteobacteria,1YH6D@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Lys2_ev_pop1_4,13_4_2839227-3026093_71,287.DR97_6027,3.92E-121,347,"2E2KX@1|root,32XQ5@2|Bacteria,1N5SI@1224|Proteobacteria,1SGWF@1236|Gammaproteobacteria,1YIKB@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Lys2_ev_pop1_4,13_4_2839227-3026093_72,287.DR97_6028,1.97E-77,230,"2E451@1|root,32Z13@2|Bacteria,1N6TT@1224|Proteobacteria,1SF2I@1236|Gammaproteobacteria,1YGXM@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Lys2_ev_pop1_4,13_4_2839227-3026093_96,287.DR97_6052,4.28E-51,161,"2AS94@1|root,31HN7@2|Bacteria,1QFCX@1224|Proteobacteria,1TCK3@1236|Gammaproteobacteria,1YKEI@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Lys2_ev_pop1_4,13_4_2839227-3026093_104,1005395.CSV86_19430,2.18E-118,353,"2C93F@1|root,2ZVGC@2|Bacteria,1P6MB@1224|Proteobacteria,1SUUR@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Lys2_ev_pop2_1,14_1_2921860-3009983_30,287.DR97_6027,3.92E-121,347,"2E2KX@1|root,32XQ5@2|Bacteria,1N5SI@1224|Proteobacteria,1SGWF@1236|Gammaproteobacteria,1YIKB@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Lys2_ev_pop2_1,14_1_2921860-3009983_31,287.DR97_6028,1.97E-77,230,"2E451@1|root,32Z13@2|Bacteria,1N6TT@1224|Proteobacteria,1SF2I@1236|Gammaproteobacteria,1YGXM@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Lys2_ev_pop2_3,14_3_2890191-3084703_8,287.DR97_5996,3.52E-99,288,"2ERHW@1|root,33J3B@2|Bacteria,1NPGZ@1224|Proteobacteria,1TCAA@1236|Gammaproteobacteria,1YK4B@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Lys2_ev_pop2_3,14_3_2890191-3084703_11,287.DR97_5999,6.88E-53,166,"2AHBH@1|root,317MZ@2|Bacteria,1QEJS@1224|Proteobacteria,1TBB2@1236|Gammaproteobacteria,1YH6D@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Lys2_ev_pop2_3,14_3_2890191-3084703_46,287.DR97_6027,3.92E-121,347,"2E2KX@1|root,32XQ5@2|Bacteria,1N5SI@1224|Proteobacteria,1SGWF@1236|Gammaproteobacteria,1YIKB@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Lys2_ev_pop2_3,14_3_2890191-3084703_47,287.DR97_6028,1.97E-77,230,"2E451@1|root,32Z13@2|Bacteria,1N6TT@1224|Proteobacteria,1SF2I@1236|Gammaproteobacteria,1YGXM@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Lys2_ev_pop2_3,14_3_2890191-3084703_71,287.DR97_6052,4.28E-51,161,"2AS94@1|root,31HN7@2|Bacteria,1QFCX@1224|Proteobacteria,1TCK3@1236|Gammaproteobacteria,1YKEI@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Lys2_ev_pop2_3,14_3_2890191-3084703_79,1005395.CSV86_19430,2.18E-118,353,"2C93F@1|root,2ZVGC@2|Bacteria,1P6MB@1224|Proteobacteria,1SUUR@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Lys2_ev_pop2_3,14_3_2890191-3084703_88,287.DR97_6068,6.11E-109,313,"2E53M@1|root,32ZWP@2|Bacteria,1N5H5@1224|Proteobacteria,1SEB3@1236|Gammaproteobacteria,1YGIC@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,ko:K11918,-,-,-,-,"ko00000,ko02044",-,-,-,-
25,Lys2_ev_pop2_3,14_3_2890191-3084703_135,287.DR97_6119,6.11E-99,289,"2EABM@1|root,334FS@2|Bacteria,1NP0B@1224|Proteobacteria",1224|Proteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Lys2_ev_pop2_6,14_6_2811042-3146373_11,287.DR97_5687,3.13E-54,170,"2EIFX@1|root,33C79@2|Bacteria,1NGF9@1224|Proteobacteria,1SGCI@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
